ID;Título;Localización;Precio;numero_calle;metros_cuadrados;habitaciones;baños;parcela_m2;plaza_garaje;estado;orientacion;año_construccion;calefaccion;planta;ascensor;LATITUD;LONGITUD
105845137;Piso en venta en calle de Belén;Chueca-Justicia;580000.0;;74.0;;;;;Segunda mano/buen estado;;1905.0;Eléctrica;Planta 1ª interior;True;40°25'27.92'' N;3°41'49.53'' W
105639958;Piso en venta en calle de Fuencarral, 106;Chueca-Justicia;1655000.0;106.0;220.0;5.0;2.0;;;Segunda mano/buen estado;oeste;;Gas natural;Planta 1ª exterior;True;40°25'12.98'' N;3°42'5.96'' W
106135117;Piso en venta en plaza del Conde del Valle de Súchil;Arapiles;1800000.0;;296.0;5.0;7.0;;;Segunda mano/buen estado;oeste;1966.0;Calefacción central;Planta 3ª exterior;True;40°25'48.96'' N;3°42'27.59'' W
104154459;Piso en venta en calle de Maldonado;Castellana;3500000.0;;316.0;3.0;4.0;;;Segunda mano/buen estado;sur;1925.0;Gas;Planta 3ª exterior;True;40°26'2.78'' N;3°41'10.13'' W
105976873;Dúplex en venta en calle de Toledo;Palacio;805500.0;;126.0;2.0;2.0;;;Segunda mano/buen estado;oeste;;Calefacción central;;True;40°24'53.87'' N;3°42'27.34'' W
106337200;Piso en venta en calle de Gonzalo de Córdoba, 22;Trafalgar;1370000.0;22.0;140.0;3.0;4.0;;;Segunda mano/buen estado;oeste;1910.0;Gas;Planta 2ª exterior;True;40°25'56.08'' N;3°42'12.43'' W
105767996;Piso en venta en calle de Esparteros;Sol;1790000.0;;214.0;2.0;2.0;;;Segunda mano/buen estado;;1880.0;Eléctrica;Planta 4ª exterior;True;40°24'58.79'' N;3°42'17.99'' W
105814599;Piso en venta en paseo de San Francisco de Sales;Vallehermoso;1710000.0;;228.0;3.0;4.0;;;Segunda mano/buen estado;sur;1969.0;Gas;Planta 13ª exterior;True;40°26'23.41'' N;3°43'1.52'' W
106272590;Piso en venta en calle de Viriato, 50;Almagro;1950000.0;50.0;136.0;2.0;2.0;;;Segunda mano/buen estado;oeste;1960.0;Calefacción central;Planta 6ª exterior;True;40°26'9.94'' N;3°42'14.05'' W
106069307;Piso en venta en calle del Doctor Castelo;Ibiza;759000.0;;70.0;2.0;2.0;;;Segunda mano/buen estado;norte;1930.0;Gas natural;Planta 3ª interior;True;40°25'14.19'' N;3°40'45.49'' W
105289066;Chalet adosado en venta en avenida de la Osa Mayor;Aravaca;1248000.0;;450.0;5.0;5.0;300.0;True;Segunda mano/buen estado;oeste;1982.0;Calefacción individual;;;40°27'41.34'' N;3°46'24.41'' W
106458828;Piso en venta en calle de Castelló;Castellana;2500000.0;;201.0;4.0;5.0;;;Segunda mano/buen estado;este;1964.0;Calefacción individual;Planta 1ª exterior;True;40°25'20.65'' N;3°40'54.64'' W
